Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone I think but looks a little odd!,bun,pastry,cake,bread,slice,English,"German, a little Russian",20-29,Female,England,,Fri May 14 09:21:30 PM 2021
cake,cake,Raspberry flan,pie,biscuit,cake,tart,biscuit,pastry,Scone,Danish ?,cake,cake,bread,biscuit,English,"french, some spanish german and polish",50-59,Female,United Kingdom,,Fri May 14 10:21:03 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,Cinnamon bun/roll,tart,Coffee cake,bread,pastry,English,Italian,20-29,Male,USA,,Fri May 14 10:51:13 PM 2021
cake,cake,cake,pastry,biscuit,slice,slice,biscuit,tart,bun,swirl,cake,pastry,bun,slice,Australian English,French,60-69,Male,England,Australia since age of 5,Fri May 14 10:51:22 PM 2021
cake,cake,tart,pie,cookie,tart,tart,cookie,pastry,pastry,bun,slice,bread,roll,slice,English ,Spanish. French,60-69,Female,Is,,Fri May 14 10:52:19 PM 2021
cake,cake,tart,pie,cookie,tart,tart,cookie,pastry,pastry,roll,pastry,bread,roll,pastry,English,Spanish,40-49,Female,USA,,Fri May 14 11:15:58 PM 2021
cake,cake,flan,pie,biscuit,cake,tart,biscuit,pastry,scone,bun,pastry,pastry,bread,tart,English,Spanish,70+,Female,United Kingdom,Spain,Fri May 14 11:25:54 PM 2021
cake,cake,tart,pie,biscuit,tart,pie,biscuit,pastry,pastry,bun,babka / monkey bread / strudel,cake,bun,slice,German/English bilingual,"Catalan, Spanish, Czech, Swedish, Hebrew",30-39,Female,Austria,Spain,Fri May 14 11:30:11 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,bread,cake,bread,cake,English ,,30-39,Male,United States,,Sat May 15 12:07:28 AM 2021
cake,cake,tart,pie,cookie,cake,slice,biscuit,pastry,bun,roll,bread,BUNT,bread,slice,English,None,30-39,Female,Australia,,Sat May 15 12:26:23 AM 2021
slice,slice,slice,slice,slice,cake,slice,slice,slice,slice,slice,slice,slice,slice,slice,french,,20-29,Male,Andorre,,Sat May 15 01:13:54 AM 2021
cake,cake,pie,pie,cookie,pastry,slice,biscuit,bun,pastry,roll,pastry,bread,bread,biscuit,english,Filipino,20-29,Female,Philippines,N/A,Sat May 15 03:07:20 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,cake,cake,roll,pastry,English,,60-69,Female,USA,,Sat May 15 05:37:46 AM 2021
cake,cake,pie,pastry,cookie,tart,tart,cookie,pastry,cake,roll,roll,cake,bun,tart,Bosnian,English,30-39,Female,Bisnia,-,Sat May 15 05:59:12 AM 2021
